Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.9364678859710693	0	24.54901960784314	16.020897780882876	116.0	9.0	24.54901960784314	16.020897780882876	5008	5008
3.4903578758239746	1	25.04	15.915665239002736	95.0	8.0	25.04	15.915665239002736	5008	10016
5.033860683441162	2	26.919354838709676	15.974743224513604	105.0	9.0	26.919354838709676	15.974743224513604	5007	15023
6.639411926269531	3	32.36774193548387	18.90793291608602	104.0	9.0	32.36774193548387	18.90793291608602	5017	20040
8.250919818878174	4	35.744680851063826	19.96358537964062	97.0	11.0	35.744680851063826	19.96358537964062	5040	25080
10.021387577056885	5	39.52755905511811	23.242923492258562	143.0	12.0	39.52755905511811	23.242923492258562	5020	30100
11.727778673171997	6	40.008	22.73094665868538	110.0	9.0	40.008	22.73094665868538	5001	35101
13.464175701141357	7	43.82608695652174	26.612602725372906	149.0	11.0	43.82608695652174	26.612602725372906	5040	40141
15.163481712341309	8	45.24324324324324	21.32173793104803	120.0	11.0	45.24324324324324	21.32173793104803	5022	45163
17.054763793945312	9	49.772277227722775	27.524203997669453	155.0	13.0	49.772277227722775	27.524203997669453	5027	50190
18.80336880683899	10	45.627272727272725	28.732578623927324	200.0	12.0	45.627272727272725	28.732578623927324	5019	55209
20.641589879989624	11	49.94059405940594	28.61621149004761	131.0	13.0	49.94059405940594	28.61621149004761	5044	60253
22.49157476425171	12	54.55434782608695	33.724060605228196	200.0	13.0	54.55434782608695	33.724060605228196	5019	65272
24.29735493659973	13	54.354838709677416	28.21257447145366	150.0	15.0	54.354838709677416	28.21257447145366	5055	70327
26.062432765960693	14	55.380434782608695	24.183556392949406	127.0	18.0	55.380434782608695	24.183556392949406	5095	75422
27.80576181411743	15	52.291666666666664	23.443601057763193	149.0	17.0	52.291666666666664	23.443601057763193	5020	80442
29.653719663619995	16	56.166666666666664	25.68624794191112	167.0	12.0	56.166666666666664	25.68624794191112	5055	85497
31.51968789100647	17	58.30232558139535	29.613035221955677	200.0	11.0	58.30232558139535	29.613035221955677	5014	90511
33.428019762039185	18	67.26666666666667	31.7760217075007	200.0	18.0	67.26666666666667	31.7760217075007	5045	95556
35.234800815582275	19	58.40229885057471	25.673215959512977	139.0	14.0	58.40229885057471	25.673215959512977	5081	100637
37.22677969932556	20	71.31944444444444	35.77003183489128	200.0	25.0	71.31944444444444	35.77003183489128	5135	105772
39.17675971984863	21	70.125	33.795930680417065	154.0	18.0	70.125	33.795930680417065	5049	110821
41.14038300514221	22	74.80597014925372	29.736774963886724	150.0	16.0	74.80597014925372	29.736774963886724	5012	115833
43.02472496032715	23	71.36619718309859	27.385222414020014	169.0	16.0	71.36619718309859	27.385222414020014	5067	120900
45.028146743774414	24	74.38235294117646	36.70110970103216	200.0	25.0	74.38235294117646	36.70110970103216	5058	125958
47.05974578857422	25	81.45161290322581	34.529873657717	168.0	21.0	81.45161290322581	34.529873657717	5050	131008
49.143842697143555	26	87.7719298245614	34.326613655408934	183.0	32.0	87.7719298245614	34.326613655408934	5003	136011
51.39676594734192	27	101.8	34.330744238947105	193.0	30.0	101.8	34.330744238947105	5090	141101
53.832398653030396	28	114.44444444444444	50.953379805271474	200.0	30.0	114.44444444444444	50.953379805271474	5150	146251
56.179319620132446	29	112.44444444444444	45.308108450453155	200.0	25.0	112.44444444444444	45.308108450453155	5060	151311
58.611029624938965	30	120.07142857142857	47.9123171643203	200.0	29.0	120.07142857142857	47.9123171643203	5043	156354
61.335957765579224	31	152.6969696969697	43.88586080614178	200.0	57.0	152.6969696969697	43.88586080614178	5039	161393
63.91241669654846	32	140.80555555555554	48.366551484152104	200.0	24.0	140.80555555555554	48.366551484152104	5069	166462
66.65411972999573	33	167.1	45.25730143671111	200.0	42.0	167.1	45.25730143671111	5013	171475
69.45703768730164	34	164.38709677419354	45.220376094764234	200.0	59.0	164.38709677419354	45.220376094764234	5096	176571
72.35234570503235	35	175.06896551724137	45.720237000081696	200.0	18.0	175.06896551724137	45.720237000081696	5077	181648
75.7823338508606	36	188.0	23.620455667195035	200.0	110.0	188.0	23.620455667195035	5076	186724
78.61723065376282	37	152.57575757575756	59.45001990622309	200.0	15.0	152.57575757575756	59.45001990622309	5035	191759
81.54244184494019	38	168.36666666666667	42.10422253831029	200.0	68.0	168.36666666666667	42.10422253831029	5051	196810
84.36030268669128	39	164.61290322580646	36.80609821435611	200.0	73.0	164.61290322580646	36.80609821435611	5103	201913
87.16422080993652	40	166.7	41.87533084446419	200.0	71.0	166.7	41.87533084446419	5001	206914
90.10847687721252	41	165.25806451612902	43.77948241042681	200.0	64.0	165.25806451612902	43.77948241042681	5123	212037
93.06117677688599	42	174.06896551724137	36.52484372690283	200.0	93.0	174.06896551724137	36.52484372690283	5048	217085
95.83522081375122	43	174.10344827586206	35.71568266335383	200.0	83.0	174.10344827586206	35.71568266335383	5049	222134
98.63714098930359	44	170.1	43.7465046222743	200.0	40.0	170.1	43.7465046222743	5103	227237
101.43101572990417	45	164.4516129032258	45.88684449162465	200.0	52.0	164.4516129032258	45.88684449162465	5098	232335
104.36970686912537	46	186.62962962962962	32.54756991343952	200.0	38.0	186.62962962962962	32.54756991343952	5039	237374
107.36601781845093	47	177.58620689655172	42.14712919530189	200.0	35.0	177.58620689655172	42.14712919530189	5150	242524
110.20910787582397	48	174.48275862068965	38.451600289244205	200.0	69.0	174.48275862068965	38.451600289244205	5060	247584
