Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.66788911819458	0	24.3719806763285	12.442788394626143	75.0	9.0	24.3719806763285	12.442788394626143	5045	5045
3.03114914894104	1	27.51912568306011	14.609616389174926	78.0	9.0	27.51912568306011	14.609616389174926	5036	10081
4.37633204460144	2	28.93103448275862	16.630738127154288	113.0	10.0	28.93103448275862	16.630738127154288	5034	15115
5.778366327285767	3	32.41290322580645	17.63968659540705	96.0	10.0	32.41290322580645	17.63968659540705	5024	20139
7.165998220443726	4	32.36538461538461	17.515592518162993	90.0	10.0	32.36538461538461	17.515592518162993	5049	25188
8.536481142044067	5	35.316901408450704	15.662537037627985	79.0	10.0	35.316901408450704	15.662537037627985	5015	30203
10.044677257537842	6	38.64885496183206	22.547633603809416	129.0	11.0	38.64885496183206	22.547633603809416	5063	35266
11.529364347457886	7	39.76377952755905	21.02583963060368	122.0	11.0	39.76377952755905	21.02583963060368	5050	40316
12.988436937332153	8	41.421487603305785	20.33876405799701	107.0	14.0	41.421487603305785	20.33876405799701	5012	45328
14.474525213241577	9	42.567796610169495	18.853349661271285	134.0	12.0	42.567796610169495	18.853349661271285	5023	50351
15.931807279586792	10	43.51304347826087	18.509393721962677	100.0	14.0	43.51304347826087	18.509393721962677	5004	55355
17.405286073684692	11	43.721739130434784	21.968573532716725	119.0	10.0	43.721739130434784	21.968573532716725	5028	60383
18.925132036209106	12	46.97222222222222	22.889209140154414	148.0	18.0	46.97222222222222	22.889209140154414	5073	65456
20.405705213546753	13	46.11009174311926	19.262236406184254	121.0	14.0	46.11009174311926	19.262236406184254	5026	70482
21.966386318206787	14	52.28125	23.736269331359413	138.0	18.0	52.28125	23.736269331359413	5019	75501
23.586079359054565	15	54.24731182795699	25.252980624238	144.0	18.0	54.24731182795699	25.252980624238	5045	80546
25.088052988052368	16	49.029126213592235	20.352932715220277	126.0	17.0	49.029126213592235	20.352932715220277	5050	85596
26.647465229034424	17	52.71578947368421	23.08914675904984	141.0	14.0	52.71578947368421	23.08914675904984	5008	90604
