Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.5010349750518799	0	21.70258620689655	12.386115427384786	128.0	8.0	21.70258620689655	12.386115427384786	5035	5035
2.6466879844665527	1	22.110132158590307	12.84647514966967	90.0	9.0	22.110132158590307	12.84647514966967	5019	10054
3.776841878890991	2	24.930348258706466	14.924190666260431	90.0	8.0	24.930348258706466	14.924190666260431	5011	15065
4.886327028274536	3	26.457894736842107	14.89810358081555	85.0	9.0	26.457894736842107	14.89810358081555	5027	20092
5.998337984085083	4	29.80952380952381	18.061387510954457	111.0	9.0	29.80952380952381	18.061387510954457	5008	25100
7.122055768966675	5	32.43225806451613	20.80974317549779	113.0	9.0	32.43225806451613	20.80974317549779	5027	30127
8.238922834396362	6	35.309859154929576	23.502227373792863	141.0	10.0	35.309859154929576	23.502227373792863	5014	35141
9.39157485961914	7	39.425196850393704	22.132571104627846	115.0	12.0	39.425196850393704	22.132571104627846	5007	40148
10.579638957977295	8	42.15	24.289795525419038	123.0	10.0	42.15	24.289795525419038	5058	45206
11.76393985748291	9	45.64545454545455	28.081565083176205	200.0	10.0	45.64545454545455	28.081565083176205	5021	50227
12.945315837860107	10	54.204301075268816	34.486263165094435	187.0	14.0	54.204301075268816	34.486263165094435	5041	55268
14.095207929611206	11	49.213592233009706	27.265202576945608	140.0	13.0	49.213592233009706	27.265202576945608	5069	60337
15.226538896560669	12	58.172413793103445	36.19748098702156	200.0	11.0	58.172413793103445	36.19748098702156	5061	65398
16.39722490310669	13	53.924731182795696	33.149461650582445	162.0	16.0	53.924731182795696	33.149461650582445	5015	70413
17.511359930038452	14	59.870588235294115	34.96041063000669	200.0	13.0	59.870588235294115	34.96041063000669	5089	75502
18.61406898498535	15	66.07894736842105	35.38687057961304	200.0	14.0	66.07894736842105	35.38687057961304	5022	80524
19.722428798675537	16	70.43661971830986	37.55136665781247	200.0	22.0	70.43661971830986	37.55136665781247	5001	85525
20.83340287208557	17	66.10526315789474	36.69202514363679	196.0	11.0	66.10526315789474	36.69202514363679	5024	90549
21.966060876846313	18	71.84285714285714	36.751534745129334	187.0	19.0	71.84285714285714	36.751534745129334	5029	95578
23.119130849838257	19	79.73015873015873	46.80835848205243	200.0	20.0	79.73015873015873	46.80835848205243	5023	100601
24.271013736724854	20	94.88888888888889	46.86294701007541	200.0	21.0	94.88888888888889	46.86294701007541	5124	105725
25.400141954421997	21	83.09836065573771	47.77189822068652	200.0	19.0	83.09836065573771	47.77189822068652	5069	110794
26.595390796661377	22	84.96610169491525	46.903783990205184	200.0	19.0	84.96610169491525	46.903783990205184	5013	115807
27.706580877304077	23	97.01923076923077	50.603089896770044	200.0	28.0	97.01923076923077	50.603089896770044	5045	120852
28.821357011795044	24	95.24528301886792	49.21454979690816	200.0	28.0	95.24528301886792	49.21454979690816	5048	125900
29.96458387374878	25	98.66666666666667	52.713307716908794	199.0	18.0	98.66666666666667	52.713307716908794	5032	130932
31.09389090538025	26	111.37777777777778	47.38039392401737	200.0	17.0	111.37777777777778	47.38039392401737	5012	135944
32.214536905288696	27	114.52272727272727	47.80428310801318	200.0	35.0	114.52272727272727	47.80428310801318	5039	140983
33.343353033065796	28	120.21428571428571	55.20806347001173	200.0	15.0	120.21428571428571	55.20806347001173	5049	146032
34.46336579322815	29	156.34375	50.111506522329776	200.0	30.0	156.34375	50.111506522329776	5003	151035
35.60172390937805	30	126.575	56.98328153941294	200.0	18.0	126.575	56.98328153941294	5063	156098
36.76574897766113	31	132.3421052631579	51.84860365362818	200.0	37.0	132.3421052631579	51.84860365362818	5029	161127
37.8986439704895	32	141.61111111111111	48.30474889109868	200.0	32.0	141.61111111111111	48.30474889109868	5098	166225
39.04601073265076	33	155.33333333333334	41.203608746533035	200.0	37.0	155.33333333333334	41.203608746533035	5126	171351
40.171897888183594	34	144.28571428571428	58.63376473796424	200.0	21.0	144.28571428571428	58.63376473796424	5050	176401
41.33109188079834	35	161.75	52.187163172565725	200.0	23.0	161.75	52.187163172565725	5176	181577
42.46247601509094	36	163.0	44.786950864531235	200.0	52.0	163.0	44.786950864531235	5053	186630
43.60699486732483	37	182.92857142857142	36.3553185060105	200.0	50.0	182.92857142857142	36.3553185060105	5122	191752
44.7388060092926	38	169.16666666666666	47.703307595548914	200.0	26.0	169.16666666666666	47.703307595548914	5075	196827
45.846972942352295	39	179.96428571428572	35.91506065194173	200.0	75.0	179.96428571428572	35.91506065194173	5039	201866
47.02059292793274	40	179.67857142857142	32.99789340833374	200.0	63.0	179.67857142857142	32.99789340833374	5031	206897
48.16569185256958	41	168.06666666666666	50.432749500916785	200.0	27.0	168.06666666666666	50.432749500916785	5042	211939
49.303297996520996	42	179.53571428571428	32.493386297233236	200.0	83.0	179.53571428571428	32.493386297233236	5027	216966
50.41331672668457	43	161.4516129032258	44.25063419241357	200.0	36.0	161.4516129032258	44.25063419241357	5005	221971
51.60658669471741	44	185.67857142857142	30.25493297609094	200.0	59.0	185.67857142857142	30.25493297609094	5199	227170
52.72779583930969	45	181.35714285714286	30.935663983862526	200.0	66.0	181.35714285714286	30.935663983862526	5078	232248
53.864837884902954	46	182.60714285714286	33.52007850923542	200.0	62.0	182.60714285714286	33.52007850923542	5113	237361
55.013449907302856	47	177.48275862068965	38.724153283996095	200.0	43.0	177.48275862068965	38.724153283996095	5147	242508
56.162391901016235	48	181.82142857142858	36.48781946605956	200.0	30.0	181.82142857142858	36.48781946605956	5091	247599
