Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.6599390506744385	0	20.714285714285715	11.535216707535056	65.0	9.0	20.714285714285715	11.535216707535056	1015	1015
0.9495999813079834	1	22.4	10.507986380738119	57.0	9.0	22.4	10.507986380738119	1008	2023
1.213231086730957	2	26.333333333333332	10.677878722718948	54.0	12.0	26.333333333333332	10.677878722718948	1027	3050
1.4942049980163574	3	27.27027027027027	17.859282768578222	95.0	8.0	27.27027027027027	17.859282768578222	1009	4059
1.7762060165405273	4	32.32258064516129	17.511999750906643	81.0	12.0	32.32258064516129	17.511999750906643	1002	5061
2.0642290115356445	5	29.0	18.01428004984617	97.0	9.0	29.0	18.01428004984617	1015	6076
2.354109764099121	6	34.233333333333334	18.623790042726416	99.0	14.0	34.233333333333334	18.623790042726416	1027	7103
2.664654016494751	7	37.592592592592595	24.92842979004057	91.0	12.0	37.592592592592595	24.92842979004057	1015	8118
2.9639620780944824	8	34.06666666666667	18.40639985319116	87.0	13.0	34.06666666666667	18.40639985319116	1022	9140
3.267894983291626	9	39.57692307692308	20.9324427567189	90.0	15.0	39.57692307692308	20.9324427567189	1029	10169
3.5851287841796875	10	37.75	21.47361337615473	100.0	11.0	37.75	21.47361337615473	1057	11226
3.8945798873901367	11	45.63636363636363	24.144537222443304	111.0	15.0	45.63636363636363	24.144537222443304	1004	12230
4.246172189712524	12	53.73684210526316	30.061064352875146	123.0	18.0	53.73684210526316	30.061064352875146	1021	13251
4.588470935821533	13	51.8	24.65076063735154	117.0	14.0	51.8	24.65076063735154	1036	14287
4.972791910171509	14	53.523809523809526	28.603394816198616	140.0	13.0	53.523809523809526	28.603394816198616	1124	15411
5.292491912841797	15	49.04761904761905	18.604853924961652	87.0	17.0	49.04761904761905	18.604853924961652	1030	16441
5.670738935470581	16	56.94736842105263	27.494446681792855	102.0	19.0	56.94736842105263	27.494446681792855	1082	17523
6.014837026596069	17	48.72727272727273	25.05844408247868	128.0	15.0	48.72727272727273	25.05844408247868	1072	18595
6.346822023391724	18	55.888888888888886	20.509859116718825	94.0	22.0	55.888888888888886	20.509859116718825	1006	19601
6.698688983917236	19	56.0	26.961961509153088	118.0	21.0	56.0	26.961961509153088	1064	20665
7.039612054824829	20	49.61904761904762	28.08232148604085	122.0	16.0	49.61904761904762	28.08232148604085	1042	21707
7.383044004440308	21	56.5	21.037664635917487	91.0	18.0	56.5	21.037664635917487	1017	22724
7.724369049072266	22	53.68421052631579	26.92885877461292	140.0	14.0	53.68421052631579	26.92885877461292	1020	23744
8.08621883392334	23	64.5	31.402627278621132	134.0	28.0	64.5	31.402627278621132	1032	24776
8.432365894317627	24	62.8125	20.424307668804836	96.0	33.0	62.8125	20.424307668804836	1005	25781
8.825090885162354	25	85.41666666666667	23.704635036680532	117.0	34.0	85.41666666666667	23.704635036680532	1025	26806
9.179564952850342	26	64.3125	31.334323732131192	137.0	25.0	64.3125	31.334323732131192	1029	27835
9.62310004234314	27	76.64285714285714	47.05560106763843	200.0	27.0	76.64285714285714	47.05560106763843	1073	28908
10.024083852767944	28	80.46153846153847	32.86947469710925	135.0	42.0	80.46153846153847	32.86947469710925	1046	29954
10.402275085449219	29	79.61538461538461	26.825758177079507	125.0	30.0	79.61538461538461	26.825758177079507	1035	30989
10.855964183807373	30	96.63636363636364	38.681150512344864	175.0	46.0	96.63636363636364	38.681150512344864	1063	32052
11.283771991729736	31	92.75	32.306152664778885	133.0	29.0	92.75	32.306152664778885	1113	33165
11.676905870437622	32	85.66666666666667	45.54911878645099	200.0	27.0	85.66666666666667	45.54911878645099	1028	34193
12.070521116256714	33	87.33333333333333	43.13415764281894	156.0	29.0	87.33333333333333	43.13415764281894	1048	35241
12.460855960845947	34	92.27272727272727	38.07908256412725	185.0	46.0	92.27272727272727	38.07908256412725	1015	36256
12.948251008987427	35	114.1	43.149623405077364	200.0	65.0	114.1	43.149623405077364	1141	37397
13.346266031265259	36	94.63636363636364	42.39483829488665	154.0	27.0	94.63636363636364	42.39483829488665	1041	38438
13.772897958755493	37	117.66666666666667	30.177254127350068	153.0	45.0	117.66666666666667	30.177254127350068	1059	39497
14.236727952957153	38	145.85714285714286	28.632791248739224	200.0	109.0	145.85714285714286	28.632791248739224	1021	40518
14.713037014007568	39	150.28571428571428	30.760430452655456	196.0	101.0	150.28571428571428	30.760430452655456	1052	41570
15.22603702545166	40	155.0	32.70648690572385	200.0	120.0	155.0	32.70648690572385	1085	42655
15.77285385131836	41	182.16666666666666	25.497821257685704	200.0	140.0	182.16666666666666	25.497821257685704	1093	43748
16.272125959396362	42	170.0	36.882696936820295	200.0	105.0	170.0	36.882696936820295	1020	44768
16.799718141555786	43	179.16666666666666	29.464196729062355	200.0	137.0	179.16666666666666	29.464196729062355	1075	45843
17.4352810382843	44	166.85714285714286	55.29771003119278	200.0	37.0	166.85714285714286	55.29771003119278	1168	47011
17.97929096221924	45	141.875	56.105787357455384	200.0	33.0	141.875	56.105787357455384	1135	48146
18.576973915100098	46	189.83333333333334	15.603596451530723	200.0	159.0	189.83333333333334	15.603596451530723	1139	49285
19.096549034118652	47	138.5	58.642987645583	200.0	33.0	138.5	58.642987645583	1108	50393
19.625932931900024	48	178.0	33.38163167571851	200.0	107.0	178.0	33.38163167571851	1068	51461
20.18895673751831	49	183.5	36.89512162874653	200.0	101.0	183.5	36.89512162874653	1101	52562
20.77778697013855	50	193.5	14.534441853748634	200.0	161.0	193.5	14.534441853748634	1161	53723
